[2.21000000e+00 1.97142857e-02 1.13469388e-03]
[ 2.17000000e+00 -1.42857143e-03 -7.55102041e-04]
[2.19000000e+00 7.14285714e-04 7.65306122e-05]
[ 1.97000000e+00 -6.47058824e-03 -2.11319822e-04]
[ 1.2        -0.25666667 -0.08339869]
[2.52       0.05076923 0.01182446]
[ 2.36000000e+00 -5.33333333e-03 -1.87008547e-03]
[ 1.68000000e+00 -2.06060606e-02 -4.62809917e-04]
[ 1.51000000e+00 -6.29629630e-03  5.29991271e-04]
[ 1.48000000e+00 -1.03448276e-03  1.81441846e-04]
[1.50000000e+00 7.40740741e-04 6.57490185e-05]
[1.60000000e+00 3.44827586e-03 9.33632800e-05]
[ 1.30000000e+00 -1.11111111e-02 -5.39236555e-04]
[1.60000000e+00 1.03448276e-02 7.39859955e-04]
[ 1.51000000e+00 -3.21428571e-03 -4.84254046e-04]
[1.66000000e+00 5.35714286e-03 3.06122449e-04]
[ 1.55000000e+00 -3.92857143e-03 -3.31632653e-04]
[ 1.32000000e+00 -8.21428571e-03 -1.53061224e-04]
[1.42000000e+00 3.57142857e-03 4.20918367e-04]
[1.81000000e+00 1.39285714e-02 3.69897959e-04]
[ 1.64000000e+00 -6.07142857e-03 -7.14285714e-04]
[1.69000000e+00 1.78571429e-03 2.80612245e-04]
[ 1.57000000e+00 -2.50000000e-03 -8.92857143e-05]
[288.   0.   0.]
[3.12000000e+02 8.88888889e-01 3.29218107e-02]
[291.          -2.33333333  -0.35802469]
[139.         -30.4         -5.61333333]
[ 11.9        -21.18333333   1.53611111]
[ 3.13       -0.62642857  1.46835034]
[3.3        0.017      0.06434286]
[ 3.29e+00 -5.00e-04 -8.75e-04]
[ 2.04       -0.08928571 -0.00634184]
[2.59       0.03666667 0.00839683]
[ 1.44       -0.04107143 -0.00277636]
[ 1.34       -0.004       0.00148286]
[ 1.26000000e+00 -3.47826087e-03  2.26843100e-05]
[1.29000000e+00 1.42857143e-03 2.33658681e-04]
[ 1.23685714e+00 -8.57142857e-04 -3.68663594e-05]
[ 1.23000000e+00 -8.57142857e-04 -5.04021060e-14]
[ 0.72       -0.02684211 -0.00136763]
[1.06000000e+00 5.86206897e-03 5.63865073e-04]
[1.49       0.03071429 0.00177516]
[ 1.47000000e+00 -5.71428571e-04 -8.93877551e-04]
[2.32000000e+00 2.17948718e-02 5.73494881e-04]
[2.71000000e+00 3.90000000e-02 1.72051282e-03]
[ 2.66000000e+00 -1.92307692e-03 -1.57396450e-03]
[4.11000000e+00 6.30434783e-02 2.82463283e-03]
[7.12000000e+00 1.03793103e-01 1.40515949e-03]
[ 8.36000000e+00  4.00000000e-02 -2.05784205e-03]
[42.8  0.   0. ]
[4.35000000e+01 1.89189189e-02 5.11322133e-04]
[ 5.39       -3.17583333 -0.26622935]
[ 2.32       -0.21928571  0.21118197]
[2.63       0.02214286 0.0172449 ]
[ 1.58       -0.035      -0.00190476]
[ 1.23000000e+00 -1.66666667e-02  8.73015873e-04]
[ 1.20140625e+00 -4.68750000e-04  2.65539617e-04]
[ 1.20000000e+00 -4.68750000e-04 -6.07153217e-18]
[ 9.50000000e-01 -1.38888889e-02 -7.45563272e-04]
[1.         0.005      0.00188889]
[0.29 0.   0.  ]
[3.74593716e-01 1.38678223e-03 2.27341349e-05]
[ 4.57800650e-01  1.38678223e-03 -4.10009122e-17]
[5.42394366e-01 1.38678223e-03 4.03109922e-17]
[6.26988082e-01 1.38678223e-03 1.77738061e-20]
[7.12968581e-01 1.38678223e-03 3.83667672e-17]
[ 7.97562297e-01  1.38678223e-03 -3.90277234e-17]
[8.82156013e-01 1.38678223e-03 3.19928510e-20]
[ 9.63976165e-01  1.38678223e-03 -8.47735841e-17]
[ 1.04856988e+00  1.38678223e-03 -7.24282599e-16]
[1.13316360e+00 1.38678223e-03 2.68750968e-15]
[ 1.21914410e+00  1.38678223e-03 -3.11327954e-15]
[1.30373781e+00 1.38678223e-03 4.76864108e-16]
[1.38833153e+00 1.38678223e-03 2.68739237e-15]
[ 1.47015168e+00  1.38678223e-03 -1.74241580e-15]
[ 1.55474540e+00  1.38678223e-03 -1.00216184e-15]
[1.57000000e+00 1.38678223e-03 1.35631721e-15]
[ 1.52804233e+00 -6.87830688e-04 -3.40100479e-05]
[ 1.48539683e+00 -6.87830688e-04  2.04710660e-15]
[ 1.44343915e+00 -6.87830688e-04 -2.08066573e-15]
[ 1.44000000e+00 -6.87830688e-04 -2.62294960e-14]
[1.50224490e+00 1.02040816e-03 2.80039156e-05]
[ 1.54000000e+00  1.02040816e-03 -9.58036203e-16]
[1.65395604e+00 1.86813187e-03 1.38971099e-05]
[ 1.71000000e+00  1.86813187e-03 -6.55750772e-15]
[ 1.60418367e+00 -1.73469388e-03 -5.90627171e-05]
[ 1.54000000e+00 -1.73469388e-03 -7.18363057e-16]
[ 1.52659341e+00 -2.19780220e-04  2.48346501e-05]
[ 1.52000000e+00 -2.19780220e-04  5.64670381e-15]
[1.52000000e+00 0.00000000e+00 3.54484225e-06]
[1.52 0.   0.  ]
[1.72123711e+00 3.29896907e-03 5.40814602e-05]
[1.84000000e+00 3.29896907e-03 2.52996168e-15]
[ 1.51824176e+00 -5.27472527e-03 -1.40552366e-04]
[ 1.36000000e+00 -5.27472527e-03  2.91442218e-15]
[1.55263158e+00 3.15789474e-03 1.38239672e-04]
[ 1.74526316e+00  3.15789474e-03 -2.68744925e-15]
[1.93157895e+00 3.15789474e-03 3.86174438e-15]
[ 2.12421053e+00  3.15789474e-03 -1.04761657e-15]
[ 2.20000000e+00  3.15789474e-03 -9.10758737e-15]
[ 2.28714286e+00  1.42857143e-03 -2.83495624e-05]
[2.33000000e+00 1.42857143e-03 4.73589628e-15]
[ 2.33000000e+00  0.00000000e+00 -7.14285714e-04]
[ 2.30258427e+00 -4.49438202e-04 -7.36783938e-06]
[ 2.29000000e+00 -4.49438202e-04  5.43655561e-15]
[ 2.19510204e+00 -1.53061224e-03 -1.74382910e-05]
[ 2.14000000e+00 -1.53061225e-03 -4.48036910e-15]
[2.54905882e+00 6.70588235e-03 1.35024502e-04]
[ 2.71000000e+00  6.70588235e-03 -1.42250939e-15]
[3.28855670e+00 9.48453608e-03 4.55517005e-05]
[3.63000000e+00 9.48453608e-03 1.13821953e-15]
[ 4.00035714e+00  6.07142857e-03 -5.59525821e-05]
[ 4.14000000e+00  6.07142857e-03 -7.43928620e-15]
[4.68619048e+00 8.80952381e-03 4.41628264e-05]
[4.88000000e+00 8.80952381e-03 1.33203108e-15]
[ 4.53142857e+00 -5.71428571e-03 -2.38095238e-04]
[ 4.36000000e+00 -5.71428571e-03 -2.36801319e-15]
[5.38247619e+00 1.67619048e-02 3.68462139e-04]
[ 6.12000000e+00  1.67619048e-02 -3.38712644e-15]
[  6.12   0.   -38.48]
[6.94400000e+00 1.91627907e-02 4.45646295e-04]
[  6.94       -46.92857143 -38.48      ]
[7.67151587 0.01199206 0.76951743]
[ 8.39103968e+00  1.19920635e-02 -2.18534681e-15]
[ 8.45100000e+00  1.19920635e-02 -9.02056208e-18]
[  8.45       -46.92857143 -38.48      ]
[ 8.12007527e+00 -5.40860215e-03  7.69232177e-01]
[ 7.94700000e+00 -5.40860215e-03 -4.16398686e-15]
[ 7.95     55.625    15.578125]
[ 9.78        0.03       -0.91139344]
[9.84000000e+00 3.00000000e-02 1.31838984e-16]
[ 1.09020000e+01  2.52857143e-02 -1.12244898e-04]
[ 10.9        -46.92857143 -38.48      ]
[1.13800000e+01 8.57142857e-03 8.38163265e-01]
[1.20264179e+01 1.05970149e-02 3.32063337e-05]
[1.20900000e+01 1.05970149e-02 1.45721456e-12]
[1.38842466e+01 3.04109589e-02 3.35829559e-04]
[1.43100000e+01 3.04109589e-02 2.68071775e-13]
[ 1.25158824e+01 -2.94117647e-02 -9.80700387e-04]
[ 1.23100000e+01 -2.94117647e-02  9.36772981e-13]
[1.58175000e+01 5.75000000e-02 1.42478303e-03]
[ 1.64500000e+01  5.75000000e-02 -1.26161707e-17]
[ 1.34677778e+01 -4.88888889e-02 -1.74408015e-03]
[ 1.33700000e+01 -4.88888889e-02 -5.73798301e-12]
[1.7 0.  0. ]
[2.07500000e+00 6.25000000e-03 1.04166667e-04]
[ 2.30000000e+00  6.25000000e-03 -3.85494106e-19]
[ 2.17112676e+00 -2.11267606e-03 -1.37093050e-04]
[ 2.04225352e+00 -2.11267606e-03  2.68745636e-15]
[ 2.00000000e+00 -2.11267606e-03 -1.35250752e-14]
[ 1.75600000e+00 -4.00000000e-03 -3.09397368e-05]
[ 1.512 -0.004  0.   ]
[ 1.50000000e+00 -4.00000000e-03 -1.15648232e-18]
[1.61683168e+00 1.98019802e-03 1.01359288e-04]
[ 1.70000000e+00  1.98019802e-03 -1.63347964e-15]
[ 1.59572650e+00 -1.70940171e-03 -6.04852415e-05]
[ 1.50000000e+00 -1.70940171e-03 -2.14323537e-15]
[1.50000000e+00 0.00000000e+00 2.80229788e-05]
[1.5 0.  0. ]
[ 1.45307692e+00 -7.69230769e-04 -1.26103405e-05]
[ 1.40769231e+00 -7.69230769e-04 -2.40178713e-15]
[ 1.40000000e+00 -7.69230769e-04  3.22015093e-14]
[1.50655022e+00 1.74672489e-03 4.12451748e-05]
[1.61310044 0.00174672 0.        ]
[ 1.72139738e+00  1.74672489e-03 -2.13220598e-16]
[1.80000000e+00 1.74672489e-03 1.83195473e-15]
[3.49928571e+00 2.78571429e-02 4.28039639e-04]
[ 5.22642857e+00  2.78571429e-02 -1.87657909e-15]
[ 5.70000000e+00  2.78571429e-02 -2.23003805e-15]
[8.50000000e+00 8.48484848e-02 1.72701036e-03]
[ 1.54       -0.2784     -0.01452994]
[ 1.2        -0.00971429  0.00767673]
[ 1.00000000e+00 -8.00000000e-03  6.85714286e-05]
[ 0.9        -0.03333333 -0.00844444]
[1.4        0.02777778 0.00339506]
[ 1.58673469e+00  3.06122449e-03 -4.05189398e-04]
[ 1.70000000e+00  3.06122449e-03 -2.87400312e-15]
[ 1.60000000e+00 -6.66666667e-03 -6.48526077e-04]
[ 0.9        -0.03333333 -0.00126984]
[1.         0.005      0.00191667]
[ 7.0000000e-01 -9.3750000e-03 -4.4921875e-04]
[1.10000000e+00 1.29032258e-02 7.18652445e-04]
[ 1.10000000e+00  0.00000000e+00 -4.44938821e-04]
[2.00000000e+00 2.19512195e-02 5.35395598e-04]
[ 1.50000000e+00 -1.78571429e-02 -1.42172723e-03]
[ 1.40000000e+00 -1.69491525e-03  2.73936061e-04]
[1.80000000e+00 1.53846154e-02 6.56905025e-04]
[ 1.70000000e+00 -3.44827586e-03 -6.49410043e-04]
[ 1.20000000e+00 -1.85185185e-02 -5.58157135e-04]
[1.70000000e+00 1.78571429e-02 1.29913076e-03]
[ 1.60000000e+00 -3.33333333e-03 -7.06349206e-04]
[ 1.10000000e+00 -1.92307692e-02 -6.11439842e-04]
[1.90000000e+00 2.42424242e-02 1.31736950e-03]
