[-0.10536052 -3.40119738 -4.77424652]
[ 0.33647224 -3.58351894 -5.68543334]
[ 0.46167825 -5.78894028 -7.81115595]
[  0.53062825  -5.78894028 -33.48307052]
[ 0.47000363 -5.01063529 -7.34080834]
[-0.10536052 -3.40119738 -6.66886337]
[ 0.         -5.29831737 -6.25716771]
[-0.35667494 -4.66970871 -7.7080006 ]
[ 0.09531018 -4.35027794 -7.2381327 ]
[ 0.09531018        -inf -7.71757377]
[ 0.69314718 -3.81893258 -7.53250465]
[ 0.40546511 -4.02535169 -6.55588279]
[ 0.33647224 -6.38012254 -8.20261583]
[ 0.58778666 -4.17438727 -7.32797111]
[ 0.53062825 -5.66988092 -7.33944623]
[ 0.18232156 -3.98898405 -7.49087003]
[ 0.53062825 -4.02535169 -6.64605988]
[ 0.47000363 -5.70378247 -7.25540082]
[ 0.09531018 -3.95124372 -7.39969399]
[ 0.64185389 -3.71965111 -6.63211833]
[  1.02961942  -3.74294668 -11.12835482]
[ 0.74193734 -3.91202301 -6.68611662]
[ 0.99325177 -3.76892216 -6.40286439]
[ 0.95551145 -5.66988092 -6.99695592]
[ 1.02961942 -4.97673374 -7.93856446]
[ 1.06471074 -5.82894562 -9.05904033]
[ 0.95551145 -4.33946702 -7.27162031]
[ 1.06471074 -4.63796001 -7.21845738]
[ 0.95551145 -4.46206934 -7.11110182]
[ 1.38629436 -2.84158159 -5.83914705]
[ 1.41098697 -5.66988092 -6.26980997]
[ 1.13140211 -3.36729583 -6.63928148]
[ 0.91629073 -3.80666249 -7.69720646]
[ 0.91629073        -inf -7.33302301]
[ 0.87546874 -5.70378247 -9.10497986]
[ 0.64185389 -4.15888308 -7.86456966]
[ 0.91629073 -3.94481283 -6.78697062]
[ 0.74193734 -4.2121276  -6.67225422]
[ 0.91629073 -4.47163879 -7.19568934]
[ 0.99325177 -5.13579844 -8.72099946]
[ 1.25276297 -4.24849524 -8.80447518]
[ 1.16315081 -5.07517382 -7.75679076]
[ 0.95551145 -4.27202574 -8.62728213]
[ 1.13140211 -4.09434456 -6.88729421]
[ 1.02961942 -4.89285226 -7.41166046]
[ 1.02961942        -inf -8.18868912]
[ 0.87546874 -4.24849524 -7.58069975]
[ 0.78845736 -5.04342512 -8.28325631]
[ 0.91629073 -4.42284863 -7.21147932]
[ 0.69314718 -4.15888308 -7.05477002]
[ 0.58778666 -5.04342512 -8.1254359 ]
[ 0.83290912 -4.09434456 -7.16832903]
[ 0.78845736 -5.56068163 -7.14480174]
[ 1.16315081 -3.4657359  -6.81539963]
[ 0.69314718 -3.18497427 -5.98968254]
[ 0.95551145 -3.76892216 -5.99986538]
[ 1.13140211 -4.15888308 -8.36501905]
[ 0.64185389 -3.25166565 -6.34657983]
[ 0.78845736 -4.29501526 -6.04092142]
[ 0.78845736        -inf -7.98389471]
